Session,Channel,Network,ADAPT,TP,FP,FN,Precision,Recall,F1,Mean_Latency,Num_Spikes,Num_Ripples
2025-09-24_10-24-40,30,dsb4updn_median_200_15f,0,67,69,25,0.49264705882352944,0.7282608695652174,0.5877192982456142,45.4462686567185,751,92
2025-09-24_15-13-10,14,dsb4updn_median_200_15f,0,83,18,1,0.8217821782178217,0.9880952380952381,0.8972972972972973,33.79196787148582,1233,84
2025-09-24_17-38-17,13,dsb4updn_median_200_15f,0,15,128,0,0.1048951048951049,1.0,0.18987341772151897,42.67777777776876,620,15
2025-09-24_16-29-07,5,dsb4updn_median_200_15f,0,36,248,4,0.1267605633802817,0.9,0.22222222222222224,37.37777777777735,1798,40
2025-09-22_17-55-26,26,dsb4updn_median_200_16b,120,174,131,11,0.5704918032786885,0.9405405405405406,0.710204081632653,20.059961685822646,4746,185
2025-09-24_14-22-55,25,dsb4updn_median_200_16b,120,264,154,0,0.631578947368421,1.0,0.7741935483870968,8.15606060606113,15317,264
2025-09-24_15-13-10,14,dsb4updn_median_200_16b,120,83,41,1,0.6693548387096774,0.9880952380952381,0.798076923076923,17.83694779116493,2782,84
2025-09-24_10-24-40,30,dsb4updn_median_200_16b,120,65,56,27,0.5371900826446281,0.7065217391304348,0.6103286384976525,25.21538461538618,1084,92
2025-09-25_16-41-14,21,dsb4updn_median_200_16b,120,122,153,22,0.44363636363636366,0.8472222222222222,0.5823389021479713,25.208469945352576,3526,144
2025-09-23_15-50-26,28,dsb4updn_median_200_16b,120,128,105,11,0.5493562231759657,0.920863309352518,0.6881720430107527,22.79140625000018,2889,139
2025-09-24_16-29-07,5,dsb4updn_median_200_16b,120,39,275,1,0.12420382165605096,0.975,0.22033898305084748,14.669230769231117,3305,40
2025-09-24_17-38-17,13,dsb4updn_median_200_16b,120,15,116,0,0.11450381679389313,1.0,0.2054794520547945,19.811111111102097,861,15
2025-09-23_15-50-26,28,dsb4updn_median_200_16b,20,123,93,16,0.5694444444444444,0.8848920863309353,0.6929577464788732,22.83685636856498,2830,139
2025-09-24_15-13-10,14,dsb4updn_median_200_16b,20,82,34,2,0.7068965517241379,0.9761904761904762,0.8199999999999998,17.536178861788894,2657,84
2025-09-24_10-24-40,30,dsb4updn_median_200_16b,20,65,61,27,0.5158730158730159,0.7065217391304348,0.5963302752293578,28.917435897438107,1147,92
2025-09-22_17-55-26,26,dsb4updn_median_200_16b,20,173,128,12,0.574750830564784,0.9351351351351351,0.7119341563786008,19.95375722543253,4800,185
2025-09-24_14-22-55,25,dsb4updn_median_200_16b,20,264,140,0,0.6534653465346535,1.0,0.7904191616766467,8.606818181818706,15260,264
2025-09-25_16-41-14,21,dsb4updn_median_200_16b,20,122,141,22,0.46387832699619774,0.8472222222222222,0.5995085995085995,24.429781420761575,3483,144
2025-09-24_17-38-17,13,dsb4updn_median_200_16b,20,15,111,0,0.11904761904761904,1.0,0.21276595744680848,18.14444444443543,862,15
2025-09-24_16-29-07,5,dsb4updn_median_200_16b,20,38,246,2,0.13380281690140844,0.95,0.23456790123456783,13.230701754386066,3361,40
2025-09-24_14-22-55,25,dsb4updn_median_200_16b,2,264,131,0,0.6683544303797468,1.0,0.8012139605462822,8.743181818182343,15085,264
2025-09-22_17-55-26,26,dsb4updn_median_200_16b,2,170,113,15,0.6007067137809188,0.918918918918919,0.7264957264957266,21.506470588234507,4243,185
2025-09-23_15-50-26,28,dsb4updn_median_200_16b,2,123,99,16,0.5540540540540541,0.8848920863309353,0.6814404432132963,23.359349593495867,2834,139
2025-09-25_16-41-14,21,dsb4updn_median_200_16b,2,122,145,22,0.45692883895131087,0.8472222222222222,0.5936739659367397,25.2893442622926,3337,144
2025-09-24_15-13-10,14,dsb4updn_median_200_16b,2,84,41,0,0.672,1.0,0.8038277511961722,17.47182539682555,2804,84
2025-09-24_10-24-40,30,dsb4updn_median_200_16b,2,56,64,36,0.4666666666666667,0.6086956521739131,0.5283018867924527,30.65059523809675,931,92
2025-09-24_17-38-17,13,dsb4updn_median_200_16b,2,15,122,0,0.10948905109489052,1.0,0.19736842105263158,15.877777777768763,1003,15
2025-09-24_16-29-07,5,dsb4updn_median_200_16b,2,38,269,2,0.1237785016286645,0.95,0.2190201729106628,12.154385964912535,3427,40
2025-09-24_15-13-10,14,dsb4updn_median_200_16b,0,84,41,0,0.672,1.0,0.8038277511961722,18.507539682539836,2710,84
2025-09-25_16-41-14,21,dsb4updn_median_200_16b,0,124,158,20,0.4397163120567376,0.8611111111111112,0.5821596244131456,24.35188172042716,3538,144
2025-09-24_14-22-55,25,dsb4updn_median_200_16b,0,264,127,0,0.6751918158567775,1.0,0.8061068702290075,9.652272727273251,14720,264
2025-09-24_10-24-40,30,dsb4updn_median_200_16b,0,68,65,24,0.5112781954887218,0.7391304347826086,0.6044444444444443,26.100490196080074,1102,92
2025-09-23_15-50-26,28,dsb4updn_median_200_16b,0,129,99,10,0.5657894736842105,0.9280575539568345,0.7029972752043596,22.802583979328823,2958,139
2025-09-22_17-55-26,26,dsb4updn_median_200_16b,0,178,155,7,0.5345345345345346,0.9621621621621622,0.6872586872586873,20.958614232209044,5118,185
2025-09-24_17-38-17,13,dsb4updn_median_200_16b,0,15,124,0,0.1079136690647482,1.0,0.1948051948051948,18.34444444443543,900,15
2025-09-24_16-29-07,5,dsb4updn_median_200_16b,0,38,240,2,0.1366906474820144,0.95,0.2389937106918239,13.335964912280803,3111,40
2025-09-24_14-22-55,25,dsb4updn_median_200_9f,120,259,42,5,0.8604651162790697,0.9810606060606061,0.9168141592920354,34.02213642213699,1210,264
2025-09-25_16-41-14,21,dsb4updn_median_200_9f,120,93,45,51,0.6739130434782609,0.6458333333333334,0.6595744680851064,43.55842293906467,324,144
2025-09-23_15-50-26,28,dsb4updn_median_200_9f,120,87,35,52,0.7131147540983607,0.6258992805755396,0.6666666666666666,42.4720306513413,284,139
2025-09-24_15-13-10,14,dsb4updn_median_200_9f,120,75,15,9,0.8333333333333334,0.8928571428571429,0.8620689655172413,35.28399999999984,259,84
2025-09-22_17-55-26,26,dsb4updn_median_200_9f,120,136,36,49,0.7906976744186046,0.7351351351351352,0.7619047619047619,39.339705882353094,456,185
2025-09-24_10-24-40,30,dsb4updn_median_200_9f,120,36,15,56,0.7058823529411765,0.391304347826087,0.5034965034965035,41.272222222227555,114,92
2025-09-24_16-29-07,5,dsb4updn_median_200_9f,120,33,86,7,0.2773109243697479,0.825,0.4150943396226415,39.624242424241956,303,40
2025-09-24_17-38-17,13,dsb4updn_median_200_9f,120,12,44,3,0.21428571428571427,0.8,0.3380281690140845,46.38333333333063,104,15
