Session,Channel,Network,ADAPT,TP,FP,FN,Precision,Recall,F1,Mean_Latency,Num_Spikes,Num_Ripples,Duration_min
Calb_251210_115904,15,dsb4updn_median_200_15f,2,55,184,1,0.2301255230125523,0.9821428571428571,0.3728813559322034,35.52363636363165,1564,56,11.571626666666667
Calb_251211_104316,5,dsb4updn_median_200_15f,2,99,298,5,0.24937027707808565,0.9519230769230769,0.39520958083832336,40.99932659932536,3170,104,11.098311111111112
Calb_251210_165332,15,dsb4updn_median_200_15f,2,88,175,3,0.33460076045627374,0.967032967032967,0.4971751412429379,38.79090909091007,2203,91,11.109688888888888
Calb_251209_160255,11,dsb4updn_median_200_15f,2,63,64,3,0.49606299212598426,0.9545454545454546,0.6528497409326425,30.322222222220997,1360,66,5.828693333333334
2025-09-23_15-50-26,28,dsb4updn_median_200_15f,0,123,105,16,0.5394736842105263,0.8848920863309353,0.670299727520436,41.50379403794061,1533,139,10.387617777777779
2025-09-25_16-41-14,21,dsb4updn_median_200_15f,0,118,135,26,0.466403162055336,0.8194444444444444,0.5944584382871537,44.405367231635914,1827,144,10.42450111111111
2025-09-25_11-21-53,21,dsb4updn_median_200_15f,0,153,72,49,0.68,0.7574257425742574,0.7166276346604216,42.24858387799288,1276,202,10.375891666666666
2025-09-24_10-24-40,30,dsb4updn_median_200_15f,0,67,69,25,0.49264705882352944,0.7282608695652174,0.5877192982456142,45.4462686567185,751,92,10.413201666666668
2025-09-24_15-13-10,14,dsb4updn_median_200_15f,0,83,18,1,0.8217821782178217,0.9880952380952381,0.8972972972972973,33.79196787148582,1233,84,5.505122777777777
2025-09-23_16-17-52,24,dsb4updn_median_200_15f,0,47,58,25,0.44761904761904764,0.6527777777777778,0.5310734463276836,40.93617021276348,420,72,10.371521111111111
2025-09-22_17-42-27,24,dsb4updn_median_200_15f,0,63,105,46,0.375,0.5779816513761468,0.4548736462093863,43.9941798941796,742,109,10.506606666666666
2025-09-25_12-52-22,25,dsb4updn_median_200_15f,0,27,271,21,0.09060402684563758,0.5625,0.1560693641618497,45.95802469135628,1026,48,10.408511666666667
