Network,Dataset,Channel,TP,FP,FN,Precision,Recall,F1
dsb4updn_median_200_13f,Som2_2019-07-24_12-01-49,2,54,58,10,0.48214285714285715,0.84375,0.6136363636363635
dsb4updn_median_200_13f,Som2_2019-07-24_12-01-49,3,53,56,11,0.48623853211009177,0.828125,0.6127167630057804
dsb4updn_median_200_13f,Som2_2019-07-24_12-01-49,4,51,58,13,0.46788990825688076,0.796875,0.5895953757225434
dsb4updn_median_200_13f,Som2_2019-07-24_12-01-49,5,47,50,17,0.4845360824742268,0.734375,0.5838509316770186
dsb4updn_median_200_13f,Som2_2019-07-24_12-01-49,6,44,58,20,0.43137254901960786,0.6875,0.5301204819277109
dsb4updn_median_200_13f,Som2_2019-07-24_12-01-49,7,39,48,25,0.4482758620689655,0.609375,0.5165562913907285
dsb4updn_median_200_13f,Thy7_2020-11-11_16-05-00,0,108,41,31,0.7248322147651006,0.7769784172661871,0.75
dsb4updn_median_200_13f,Thy7_2020-11-11_16-05-00,1,104,22,35,0.8253968253968254,0.7482014388489209,0.7849056603773585
dsb4updn_median_200_13f,Thy7_2020-11-11_16-05-00,2,104,23,35,0.8188976377952756,0.7482014388489209,0.7819548872180451
dsb4updn_median_200_13f,Thy7_2020-11-11_16-05-00,3,90,12,49,0.8823529411764706,0.6474820143884892,0.7468879668049792
dsb4updn_median_200_13f,Thy7_2020-11-11_16-05-00,4,76,10,63,0.8837209302325582,0.5467625899280576,0.6755555555555556
dsb4updn_median_200_13f,Thy7_2020-11-11_16-05-00,5,54,12,85,0.8181818181818182,0.38848920863309355,0.5268292682926831
dsb4updn_median_200_13f,Thy7_2020-11-11_16-05-00,6,47,6,92,0.8867924528301887,0.3381294964028777,0.4895833333333333
dsb4updn_median_200_13f,Thy7_2020-11-11_16-05-00,7,22,8,117,0.7333333333333333,0.15827338129496402,0.26035502958579876
dsb4updn_median_200_9f,Amigo2_2019-07-11_11-57-07,0,186,379,38,0.3292035398230089,0.8303571428571429,0.4714828897338402
dsb4updn_median_200_9f,Amigo2_2019-07-11_11-57-07,1,167,225,57,0.4260204081632653,0.7455357142857143,0.5422077922077922
dsb4updn_median_200_9f,Amigo2_2019-07-11_11-57-07,2,128,97,96,0.5688888888888889,0.5714285714285714,0.5701559020044544
dsb4updn_median_200_9f,Amigo2_2019-07-11_11-57-07,3,102,51,122,0.6666666666666666,0.45535714285714285,0.5411140583554376
dsb4updn_median_200_9f,Amigo2_2019-07-11_11-57-07,4,95,86,129,0.5248618784530387,0.42410714285714285,0.4691358024691358
dsb4updn_median_200_9f,Amigo2_2019-07-11_11-57-07,5,71,46,153,0.6068376068376068,0.3169642857142857,0.4164222873900293
dsb4updn_median_200_9f,Amigo2_2019-07-11_11-57-07,6,52,64,172,0.4482758620689655,0.23214285714285715,0.3058823529411765
dsb4updn_median_200_9f,Amigo2_2019-07-11_11-57-07,7,49,80,175,0.3798449612403101,0.21875,0.2776203966005666
dsb4updn_median_200_9f,Dlx1_2021-02-12_12-46-54,0,14,12,17,0.5384615384615384,0.45161290322580644,0.4912280701754386
dsb4updn_median_200_9f,Dlx1_2021-02-12_12-46-54,1,20,19,11,0.5128205128205128,0.6451612903225806,0.5714285714285714
dsb4updn_median_200_9f,Dlx1_2021-02-12_12-46-54,2,22,29,9,0.43137254901960786,0.7096774193548387,0.5365853658536586
dsb4updn_median_200_9f,Dlx1_2021-02-12_12-46-54,3,21,14,10,0.6,0.6774193548387096,0.6363636363636364
dsb4updn_median_200_9f,Dlx1_2021-02-12_12-46-54,4,22,19,9,0.5365853658536586,0.7096774193548387,0.6111111111111112
dsb4updn_median_200_9f,Dlx1_2021-02-12_12-46-54,5,13,13,18,0.5,0.41935483870967744,0.45614035087719296
dsb4updn_median_200_9f,Dlx1_2021-02-12_12-46-54,6,14,10,17,0.5833333333333334,0.45161290322580644,0.509090909090909
dsb4updn_median_200_9f,Dlx1_2021-02-12_12-46-54,7,10,7,21,0.5882352941176471,0.3225806451612903,0.41666666666666663
dsb4updn_median_200_9f,Som2_2019-07-24_12-01-49,0,41,20,23,0.6721311475409836,0.640625,0.6559999999999999
dsb4updn_median_200_9f,Som2_2019-07-24_12-01-49,1,47,35,17,0.573170731707317,0.734375,0.6438356164383561
dsb4updn_median_200_9f,Som2_2019-07-24_12-01-49,2,47,17,17,0.734375,0.734375,0.734375
dsb4updn_median_200_9f,Som2_2019-07-24_12-01-49,3,40,20,24,0.6666666666666666,0.625,0.6451612903225806
dsb4updn_median_200_9f,Som2_2019-07-24_12-01-49,4,38,14,26,0.7307692307692307,0.59375,0.6551724137931033
dsb4updn_median_200_9f,Som2_2019-07-24_12-01-49,5,30,15,34,0.6666666666666666,0.46875,0.5504587155963303
dsb4updn_median_200_9f,Som2_2019-07-24_12-01-49,6,29,14,35,0.6744186046511628,0.453125,0.5420560747663552
dsb4updn_median_200_9f,Som2_2019-07-24_12-01-49,7,26,20,38,0.5652173913043478,0.40625,0.4727272727272727
dsb4updn_median_200_9f,Thy7_2020-11-11_16-05-00,0,86,15,53,0.8514851485148515,0.6187050359712231,0.7166666666666667
dsb4updn_median_200_9f,Thy7_2020-11-11_16-05-00,1,88,13,51,0.8712871287128713,0.6330935251798561,0.7333333333333333
dsb4updn_median_200_9f,Thy7_2020-11-11_16-05-00,2,76,10,63,0.8837209302325582,0.5467625899280576,0.6755555555555556
dsb4updn_median_200_9f,Thy7_2020-11-11_16-05-00,3,56,5,83,0.9180327868852459,0.4028776978417266,0.56
dsb4updn_median_200_9f,Thy7_2020-11-11_16-05-00,4,57,3,82,0.95,0.41007194244604317,0.5728643216080402
dsb4updn_median_200_9f,Thy7_2020-11-11_16-05-00,5,32,1,107,0.9696969696969697,0.2302158273381295,0.372093023255814
dsb4updn_median_200_9f,Thy7_2020-11-11_16-05-00,6,25,2,114,0.9259259259259259,0.17985611510791366,0.30120481927710846
dsb4updn_median_200_9f,Thy7_2020-11-11_16-05-00,7,11,1,128,0.9166666666666666,0.07913669064748201,0.1456953642384106
dsb4updn_median_200_12b,Amigo2_2019-07-11_11-57-07,0,187,335,37,0.35823754789272033,0.8348214285714286,0.5013404825737267
dsb4updn_median_200_12b,Amigo2_2019-07-11_11-57-07,1,170,194,54,0.46703296703296704,0.7589285714285714,0.5782312925170069
dsb4updn_median_200_12b,Amigo2_2019-07-11_11-57-07,2,129,68,95,0.6548223350253807,0.5758928571428571,0.6128266033254156
dsb4updn_median_200_12b,Amigo2_2019-07-11_11-57-07,3,87,31,137,0.7372881355932204,0.38839285714285715,0.5087719298245613
dsb4updn_median_200_12b,Amigo2_2019-07-11_11-57-07,4,81,56,143,0.5912408759124088,0.36160714285714285,0.4487534626038781
dsb4updn_median_200_12b,Amigo2_2019-07-11_11-57-07,5,58,38,166,0.6041666666666666,0.25892857142857145,0.3625
dsb4updn_median_200_12b,Amigo2_2019-07-11_11-57-07,6,46,41,178,0.5287356321839081,0.20535714285714285,0.29581993569131837
dsb4updn_median_200_12b,Amigo2_2019-07-11_11-57-07,7,40,43,184,0.4819277108433735,0.17857142857142858,0.260586319218241
dsb4updn_median_200_12b,Dlx1_2021-02-12_12-46-54,0,12,10,19,0.5454545454545454,0.3870967741935484,0.45283018867924524
dsb4updn_median_200_12b,Dlx1_2021-02-12_12-46-54,1,25,19,6,0.5681818181818182,0.8064516129032258,0.6666666666666667
dsb4updn_median_200_12b,Dlx1_2021-02-12_12-46-54,2,21,18,10,0.5384615384615384,0.6774193548387096,0.6
dsb4updn_median_200_12b,Dlx1_2021-02-12_12-46-54,3,19,19,12,0.5,0.6129032258064516,0.5507246376811595
dsb4updn_median_200_12b,Dlx1_2021-02-12_12-46-54,4,22,18,9,0.55,0.7096774193548387,0.619718309859155
dsb4updn_median_200_12b,Dlx1_2021-02-12_12-46-54,5,11,8,20,0.5789473684210527,0.3548387096774194,0.44000000000000006
dsb4updn_median_200_12b,Dlx1_2021-02-12_12-46-54,6,16,6,15,0.7272727272727273,0.5161290322580645,0.6037735849056604
dsb4updn_median_200_12b,Dlx1_2021-02-12_12-46-54,7,10,5,21,0.6666666666666666,0.3225806451612903,0.4347826086956521
dsb4updn_median_200_12b,Som2_2019-07-24_12-01-49,0,44,18,20,0.7096774193548387,0.6875,0.6984126984126984
dsb4updn_median_200_12b,Som2_2019-07-24_12-01-49,1,45,33,19,0.5769230769230769,0.703125,0.6338028169014084
dsb4updn_median_200_12b,Som2_2019-07-24_12-01-49,2,44,11,20,0.8,0.6875,0.7394957983193278
dsb4updn_median_200_12b,Som2_2019-07-24_12-01-49,3,41,10,23,0.803921568627451,0.640625,0.7130434782608696
dsb4updn_median_200_12b,Som2_2019-07-24_12-01-49,4,41,14,23,0.7454545454545455,0.640625,0.6890756302521008
dsb4updn_median_200_12b,Som2_2019-07-24_12-01-49,5,32,12,32,0.7272727272727273,0.5,0.5925925925925926
dsb4updn_median_200_12b,Som2_2019-07-24_12-01-49,6,26,5,38,0.8387096774193549,0.40625,0.5473684210526316
dsb4updn_median_200_12b,Som2_2019-07-24_12-01-49,7,28,13,36,0.6829268292682927,0.4375,0.5333333333333333
dsb4updn_median_200_12b,Thy7_2020-11-11_16-05-00,0,80,11,59,0.8791208791208791,0.5755395683453237,0.6956521739130435
